Nama Program / Kegiatan / Sub Kegiatan,Anggaran (Rp),Realisasi Keuangan (Rp),Realisasi Keuangan %,Realisasi Fisik (%)
PROGRAM PENINGKATAN DIVERSIFIKASI DAN KETAHANAN PANGAN MASYARAKAT,,,,
PENGEMBANGAN SISTEM DISTRIBUSI DAN STABILITAS HARGA PANGAN,"13,854,400,000 ","13,799,890,550 ",99.61,100
JUMLAH GABUNGAN KELOMPOK TANI YANG DIBERDAYAKAN,"9,962,000,000 ","9,955,385,950 ",99.93,100
JUMLAH LUMBUNG PANGAN YANG DIBERDAYAKAN,"3,092,400,000 ","3,076,488,900 ",99.49,100
LAPORAN KONDISI HARGA PANGAN POKOK,"295,000,000 ","293,736,000 ",99.57,100
"LAPORAN PEMANTAUAN/PENGUMPULAN DATA DISTRIBUSI, HARGA DAN CADANGAN PANGAN","265,000,000 ","264,935,000 ",99.98,100
"LAPORAN PENGEMBANGAN MODEL PEMANTAUAN DISTRIBUSI, HARGA DAN CADANGAN PANGAN","240,000,000 ","209,344,700 ",87.23,100
PENGEMBANGAN KETERSEDIAAN DAN PENANGANAN RAWAN PANGAN,"8,882,000,000 ","8,736,773,175 ",98.36,100
JUMLAH DESA MANDIRI PANGAN YANG DIBERDAYAKAN,"6,117,000,000 ","6,111,373,700 ",99.91,100
"LOKASI PENANGANAN RAWAN PANGAN, SKPG","1,767,000,000 ","1,668,552,775 ",94.43,100
"LAPORAN KAJIAN KETERSEDIAAN PANGAN, RAWAN PANGAN DAN AKSES PANGAN","100,000,000 ","99,900,000 ",99.90,100
LAPORAN APRESIASI ANALISIS KETERSEDIAAN PANGAN DAN AKSES PANGAN,"100,000,000 ","97,050,000 ",97.05,100
LAPORAN KEGIATAN DAN PEMBINAAN (Outout generik),"798,000,000 ","759,896,700 ",95.23,100
PENGEMBANGAN PENGANEKARAGAMAN KONSUMSI PANGAN DAN PENINGKATAN KEAMANAN PANGAN SEGAR,"8,843,900,000 ","8,763,067,275 ",99.09,100
PENDAMPINGAN P2KP,"4,428,900,000 ","4,411,869,400 ",99.62,100
"PEMANTAUAN, MONITORING, EVALUASI DAN PERUMUSAN KEBIJAKAN P2KP","2,190,000,000 ","2,173,655,925 ",99.25,100
LAPORAN PROMOSI P2KP,"1,350,000,000 ","1,318,862,900 ",97.69,100
SITUASI KONSUMSI PANGAN PENDUDUK,"175,000,000 ","162,134,800 ",92.65,100
HASIL KOORDINASI KEAMANAN PANGAN SEGAR,"100,000,000 ","98,985,000 ",98.99,100
HASIL PEMANTAUAN DAN PENGAWASAN KEAMANAN PANGAN,"600,000,000 ","597,559,250 ",99.59,100
DUKUNGAN MANAJEMEN DAN TEKNIS LAINNYA BADAN KETAHANAN PANGAN,"1,485,000,000 ","1,447,058,500 ",97.45,100
"DOKUMEN PERENCANAAN, PENGANGGARAN DAN LAPORAN KEUANGAN","525,150,000 ","503,886,550 ",95.95,100
HASIL PEMANTAUAN DAN EVALUASI PROGRAM,"224,850,000 ","210,697,000 ",93.71,100
DUKUNGAN MANAJEMEN DAN ADMINISTRASI,"735,000,000 ","732,474,950 ",99.66,100
