Nama Program / Kegiatan / Sub Kegiatan,Anggaran (Rp),Realisasi Keuangan (Rp),Realisasi Keuangan %,Realisasi Fisik (%)
PROGRAM PENINGKATAN DIVERSIFIKASI DAN KETAHANAN PANGAN MASYARAKAT,"34,569,763,000 ","32,887,720,070 ",95.13,100
Pengembangan Sistem Distribusi dan Stabilitas Harga Pangan,"17,457,685,000 ","15,927,469,530 ",91.23,100
Lembaga distribusi pangan masyarakat,"2,571,283,000 ","2,469,853,200 ",96.06,100
Panel harga pangan nasional dan pemantauan harga dan pasokan pangan HBKN,"437,950,000 ","400,994,900 ",91.56,100
Toko Tani Indonesia,"14,448,452,000 ","13,056,621,430 ",90.37,100
Pengembangan Ketersediaan dan Penanganan Rawan Pangan,"1,276,903,000 ","1,258,203,000 ",98.54,100
Hasil Analisis Neraca Bahan Makanan,"50,750,000 ","50,690,000 ",99.88,100
Penguatan sistem kewaspadaan pangan dan gizi,"253,383,000 ","252,905,000 ",99.81,100
Kawasan Mandiri Pangan,"880,000,000 ","867,981,000 ",98.63,100
Pemantauan ketersediaan dan kerawanan pangan,"92,770,000 ","86,627,000 ",93.38,100
Pengembangan Penganekaragaman Konsumsi dan Keamanan Pangan,"14,538,795,000 ","14,449,489,923 ",99.39,100
Pemberdayaan Pekarangan Pangan,"13,218,915,000 ","13,139,696,887 ",99.40,100
Pemantauan penganekaragaman konsumsi pangan,"277,556,000 ","276,760,000 ",99.71,100
Gerakan Diversifikasi Pangan,"193,000,000 ","192,797,000 ",99.89,100
Hasil analisis pola dan kebutuhan konsumsi pangan,"114,821,000 ","114,806,200 ",99.99,100
Model Pengembangan Pangan Pokok Lokal (MP3L),"125,000,000 ","124,650,400 ",99.72,100
Pengawasan keamanan dan mutu pangan,"609,503,000 ","600,779,436 ",98.57,100
Dukungan Manajemen dan Teknis Lainnya Badan Ketahanan Pangan,"1,296,380,000 ","1,252,557,617 ",96.62,100
"Penyusunan rencana program, anggaran dan kerja sama","171,350,000 ","170,720,000 ",99.63,100
Pemantauan dan Evaluasi Program,"152,800,000 ","150,950,480 ",98.79,100
Keuangan dan Perlengkapan,"136,025,000 ","135,984,500 ",99.97,100
Manajemen dan Adminstrasi Kelembagaan Ketahanan Pangan Daerah,"836,205,000 ","794,902,637 ",95.06,100
